"Part";"Value";"Device";"Package";"Description";"";
"ANT1";"5pF";"ANTENNA";"PAD-01";"Antenna";"";
"C1";".01u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C2";"1.2nF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C3";".01u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C4";"1.2nF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C5";".01u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C6";".01uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C7";"4700pF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C8";".1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C9";"4.7uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C10";"";"C-TRIMM3040.427";"CTRIM3040.427";"Trimm capacitor";"";
"C11";"";"C-TRIMM3040.427";"CTRIM3040.427";"Trimm capacitor";"";
"C12";".1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C13";"4.7uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C14";"22pF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C15";"1uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C16";".1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C17";"4.7uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C18";".1uF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C19";"4.7uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C20";"1uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C21";"3900pF";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C22";"10uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
"C23";"10uF";"CPOL-USE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, American symbol";"";
